Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress
33500,-2932.37,158.99,-3091.36,1292.56,0
33600,-2931.37,158.499,-3089.87,1303.02,0
33700,-2929.87,159.134,-3089,1306.28,0
33800,-2928.87,156.71,-3085.58,1311.67,0
33900,-2927.37,158.049,-3085.42,1310.2,0
34000,-2926.37,164.766,-3091.13,1319.69,0
34100,-2924.87,162.573,-3087.44,1321.35,0
34200,-2923.87,157.799,-3081.67,1331.85,0
34300,-2922.37,160.624,-3082.99,1338.19,0
34400,-2921.37,165.552,-3086.92,1344.93,0
34500,-2919.87,161.381,-3081.25,1350.48,0
34600,-2918.87,161.495,-3080.36,1355.61,0
34700,-2917.37,171.562,-3088.93,1363.16,0
34800,-2916.37,167.19,-3083.56,1375.76,0
34900,-2914.87,169.108,-3083.97,1385.19,0
35000,-2913.87,169.232,-3083.1,1394.66,0
35100,-2912.37,164.369,-3076.73,1394.93,0
35200,-2911.37,166.468,-3077.83,1396.05,0
35300,-2909.86,156.915,-3066.78,1390.09,0
35400,-2908.86,166.52,-3075.38,1386.45,0
35500,-2907.36,166.509,-3073.87,1387.82,0
35600,-2906.36,161.96,-3068.32,1387.16,0
35700,-2904.86,166.282,-3071.15,1386.83,0
35800,-2903.86,166.683,-3070.55,1387.22,0
35900,-2902.36,169.49,-3071.85,1389.85,0
36000,-2901.36,165.658,-3067.02,1391.01,0
36100,-2899.86,166.284,-3066.15,1397.26,0
36200,-2898.86,167.9,-3066.76,1398.29,0
36300,-2897.36,178.451,-3075.82,1408.66,0
36400,-2896.36,172.075,-3068.44,1418.05,0
36500,-2894.87,174.426,-3069.29,1422.08,0
36600,-2893.86,169.33,-3063.19,1426.65,0
36700,-2892.36,177.547,-3069.91,1430.68,0
36800,-2891.36,172.923,-3064.29,1438.14,0
36900,-2889.86,175.748,-3065.61,1445.37,0
37000,-2888.86,177.893,-3066.76,1454.58,0
37100,-2887.36,176.722,-3064.09,1459.53,0
37200,-2886.36,176.583,-3062.95,1468.15,0
37300,-2884.86,177.131,-3061.99,1470.77,0
37400,-2883.86,177.965,-3061.83,1476.95,0
37500,-2882.36,174.407,-3056.77,1476.91,0
37600,-2881.36,174.851,-3056.21,1478.23,0
37700,-2879.86,179.056,-3058.92,1476.83,0
37800,-2878.86,183.307,-3062.17,1490.44,0
37900,-2877.36,184.038,-3061.4,1499.48,0
38000,-2876.36,177.949,-3054.31,1506,0
38100,-2874.86,178.69,-3053.55,1504.14,0
38200,-2873.86,184.11,-3057.97,1508.03,0
38300,-2872.36,184.306,-3056.67,1513.41,0
38400,-2871.36,183.656,-3055.02,1521.33,0
38500,-2869.86,182.498,-3052.36,1527.3,0
38600,-2868.86,182.333,-3051.19,1527.16,0
38700,-2867.36,187.316,-3054.68,1537.54,0
38800,-2866.36,186.955,-3053.32,1540.62,0
38900,-2864.86,187.57,-3052.43,1545.72,0
39000,-2863.86,185.794,-3049.66,1546.55,0
39100,-2862.36,180.879,-3043.24,1541.45,0
39200,-2861.36,186.866,-3048.23,1539.44,0
39300,-2859.86,191.856,-3051.72,1542.31,0
39400,-2858.86,175.602,-3034.46,1546.32,0
